primary_type,hour,weekday,count
THEFT,4,Thursday,1540
THEFT,4,Tuesday,1488
THEFT,4,Wednesday,1464
THEFT,5,Friday,1685
THEFT,5,Monday,1709
THEFT,5,Saturday,1733
THEFT,5,Sunday,1798
THEFT,5,Thursday,1596
THEFT,5,Tuesday,1630
THEFT,5,Wednesday,1562
THEFT,6,Friday,2352
THEFT,6,Monday,2433
THEFT,6,Saturday,1921
THEFT,6,Sunday,1658
THEFT,6,Thursday,2222
THEFT,6,Tuesday,2218
THEFT,6,Wednesday,2371
THEFT,7,Friday,3593
THEFT,7,Monday,3726
THEFT,7,Saturday,2517
THEFT,7,Sunday,2101
THEFT,7,Thursday,3678
THEFT,7,Tuesday,3767
THEFT,7,Wednesday,3648
THEFT,8,Friday,5306
THEFT,8,Monday,5565
THEFT,8,Saturday,3858
THEFT,8,Sunday,3187
THEFT,8,Thursday,5209
THEFT,8,Tuesday,5400
THEFT,8,Wednesday,5470
THEFT,9,Friday,7045
THEFT,9,Monday,7233
THEFT,9,Saturday,5643
THEFT,9,Sunday,4681
THEFT,9,Thursday,6978
THEFT,9,Tuesday,7202
THEFT,9,Wednesday,7043
THEFT,10,Friday,6749
THEFT,10,Monday,6591
THEFT,10,Saturday,5881
THEFT,10,Sunday,4957
THEFT,10,Thursday,6597
THEFT,10,Tuesday,6663
THEFT,10,Wednesday,6371
THEFT,11,Friday,6811
THEFT,11,Monday,6587
THEFT,11,Saturday,6410
THEFT,11,Sunday,5339
THEFT,11,Thursday,6734
THEFT,11,Tuesday,6870
THEFT,11,Wednesday,6715
THEFT,12,Friday,10027
THEFT,12,Monday,9475
THEFT,12,Saturday,8841
THEFT,12,Sunday,7471
THEFT,12,Thursday,9621
THEFT,12,Tuesday,9762
THEFT,12,Wednesday,9829
THEFT,13,Friday,8388
THEFT,13,Monday,7843
THEFT,13,Saturday,7600
